,composer,song_name,year,era
331,Clementi,piano_sonata_50_3_1_(c)soltau.mid,1821,Classical
332,Clementi,piano_sonata_50_3_4_(c)soltau.mid,1821,Classical
333,Clementi,piano_sonata_50_3_3_(c)soltau.mid,1821,Classical
334,Clementi,piano_sonata_50_3_2_(c)soltau.mid,1821,Classical
335,Chopin,mazurka_17_2_(c)yogore.MID,1822,Romantic
336,Chopin,mazurka_17_4_(c)yogore.MID,1822,Romantic
337,Schubert,schubert_piano_fantasy_C_major_D.760_Op.15_1st_movement.mid,1822,Romantic
338,Chopin,mazurka_17_3_(c)yogore.MID,1822,Romantic
339,Beethoven,12_bagattelles_119_(c)hisamori.mid,1822,Classical Romantic
340,Liszt,diabelli_variations_(c)halstead.mid,1822,Romantic 
341,Schubert,schubert_piano_fantasy_C_major_D.760_Op.15_2nd_movement.mid,1822,Romantic
342,Schubert,schubert_6moments_musicaux_D.780_Op.94_No.2.mid,1823,Romantic
343,Schubert,schubert_6moments_musicaux_D.780_Op.94_No.3.mid,1823,Romantic
344,Schubert,schubert_piano_sonata_A_minor_D.784_Op.143_1st_movement.mid,1823,Romantic
345,Schubert,schubert_6moments_musicaux_D.780_Op.94_No.6.mid,1823,Romantic
346,Schubert,schubert_6moments_musicaux_D.780_Op.94_No.5.mid,1823,Romantic
347,Schubert,schubert_6moments_musicaux_D.780_Op.94_No.4.mid,1823,Romantic
348,Beethoven,6_bagattelles_126_(c)hisamori.mid,1823,Classical Romantic
349,Schubert,schubert_6moments_musicaux_D.780_Op.94_No.1.mid,1823,Romantic
350,Schubert,schubert_piano_sonata_A_minor_D.784_Op.143_2nd_movement.mid,1823,Romantic
351,Schubert,schubert_piano_sonata_D_major_D.850_Op.53_2nd_movement.mid,1825,Romantic
352,Schubert,schubert_piano_sonata_D_major_D.850_Op.53_4th_movement.mid,1825,Romantic
353,Schubert,schubert_piano_sonata_D_major_D.850_Op.53_1st_movement.mid,1825,Romantic
354,Schubert,schubert_piano_sonata_D_major_D.850_Op.53_3rd_movement.mid,1825,Romantic
355,Liszt,liszt_etude_12_exercices_12_(c)yogore.mid,1826,Romantic 
356,Liszt,liszt_etude_12_exercices_4_(c)yogore.mid,1826,Romantic 
357,Liszt,liszt_etude_12_exercices_5_(c)yogore.mid,1826,Romantic 
